time,geo_value,geo_type,covid,flu,rsv
2023-04-22,East,OH Region,124,4,1
2023-04-22,North East,OH Region,31,0,0
2023-04-22,North West,OH Region,14,0,0
2023-04-22,Ontario,Province,693,39,28
2023-04-22,Toronto,OH Region,172,9,6
2023-04-22,West,OH Region,184,18,14
2023-04-15,Central,OH Region,163,8,1
2023-04-15,East,OH Region,129,3,3
2023-04-15,North East,OH Region,34,0,4
2023-04-15,North West,OH Region,13,0,0
2023-04-15,Ontario,Province,745,40,33
2023-04-15,Toronto,OH Region,183,8,6
2023-04-15,West,OH Region,222,20,18
2023-04-08,Central,OH Region,152,10,3
2023-04-08,East,OH Region,153,2,5
2023-04-08,North East,OH Region,39,0,1
2023-04-08,North West,OH Region,18,0,1
2023-04-08,Ontario,Province,767,41,33
2023-04-08,Toronto,OH Region,146,7,4
2023-04-08,West,OH Region,258,18,18
2023-04-01,Central,OH Region,144,8,8
2023-04-01,East,OH Region,152,3,4
2023-04-01,North East,OH Region,38,0,2
2023-04-01,North West,OH Region,17,0,1
2023-04-01,Ontario,Province,748,38,44
2023-04-01,Toronto,OH Region,141,10,7
2023-04-01,West,OH Region,253,16,22
2023-03-25,Central,OH Region,145,7,4
2023-03-25,East,OH Region,175,5,5
2023-03-25,North East,OH Region,48,2,3
2023-03-25,North West,OH Region,21,0,1
2023-03-25,Ontario,Province,797,43,45
2023-03-25,Toronto,OH Region,158,11,8
2023-03-25,West,OH Region,243,16,25
2023-03-18,Central,OH Region,139,5,6
2023-03-18,East,OH Region,186,4,5
2023-03-18,North East,OH Region,57,1,3
2023-03-18,North West,OH Region,17,0,2
2023-03-18,Ontario,Province,833,46,56
2023-03-18,Toronto,OH Region,176,15,11
2023-03-18,West,OH Region,251,20,30
2023-03-11,Central,OH Region,160,4,9
2023-03-11,East,OH Region,210,4,11
2023-03-11,North East,OH Region,62,0,5
2023-03-11,North West,OH Region,22,0,3
2023-03-11,Ontario,Province,928,47,77
2023-03-11,Toronto,OH Region,183,14,11
2023-03-11,West,OH Region,285,24,38
2023-03-04,Central,OH Region,169,5,9
2023-03-04,East,OH Region,225,6,12
2023-03-04,North East,OH Region,85,0,8
2023-03-04,North West,OH Region,16,4,3
2023-03-04,Ontario,Province,1008,45,81
2023-03-04,Toronto,OH Region,187,7,13
2023-03-04,West,OH Region,320,22,36
2023-02-25,Central,OH Region,195,7,11
2023-02-25,East,OH Region,217,5,14
2023-02-25,North East,OH Region,90,0,5
2023-02-25,North West,OH Region,16,0,1
2023-02-25,Ontario,Province,991,35,78
2023-02-25,Toronto,OH Region,173,3,15
2023-02-25,West,OH Region,296,20,34
2023-02-18,Central,OH Region,233,7,7
2023-02-18,East,OH Region,191,6,16
2023-02-18,North East,OH Region,88,0,7
2023-02-18,North West,OH Region,18,0,3
2023-02-18,Ontario,Province,1004,41,98
2023-02-18,Toronto,OH Region,189,2,19
2023-02-18,West,OH Region,284,24,47
2023-02-11,Central,OH Region,233,5,16
2023-02-11,East,OH Region,201,7,17
2023-02-11,North East,OH Region,83,1,9
2023-02-11,North West,OH Region,22,0,4
2023-02-11,Ontario,Province,1038,52,119
2023-02-11,Toronto,OH Region,220,6,23
2023-02-11,West,OH Region,279,30,50
2023-02-04,Central,OH Region,233,5,30
2023-02-04,East,OH Region,194,8,26
2023-02-04,North East,OH Region,74,1,8
2023-02-04,North West,OH Region,29,0,4
2023-02-04,Ontario,Province,1108,58,156
2023-02-04,Toronto,OH Region,255,12,25
2023-02-04,West,OH Region,318,31,61
2023-01-28,Central,OH Region,232,11,37
2023-01-28,East,OH Region,219,11,33
2023-01-28,North East,OH Region,66,2,9
2023-01-28,North West,OH Region,37,0,7
2023-01-28,Ontario,Province,1181,71,191
2023-01-28,Toronto,OH Region,276,12,23
2023-01-28,West,OH Region,351,37,82
2023-01-21,Central,OH Region,262,12,34
2023-01-21,East,OH Region,216,16,36
2023-01-21,North East,OH Region,61,3,20
2023-01-21,North West,OH Region,57,0,9
2023-01-21,Ontario,Province,1264,88,219
2023-01-21,Toronto,OH Region,300,12,31
2023-01-21,West,OH Region,370,43,89
2023-01-14,Central,OH Region,287,22,51
2023-01-14,East,OH Region,216,21,47
2023-01-14,North East,OH Region,90,10,20
2023-01-14,North West,OH Region,51,0,8
2023-01-14,Ontario,Province,1479,136,284
2023-01-14,Toronto,OH Region,384,17,46
2023-01-14,West,OH Region,456,62,116
2023-01-07,Central,OH Region,289,33,53
2023-01-07,East,OH Region,214,37,73
2023-01-07,North East,OH Region,107,11,18
2023-01-07,North West,OH Region,17,1,7
2023-01-07,Ontario,Province,1484,199,332
2023-01-07,Toronto,OH Region,423,30,53
2023-01-07,West,OH Region,445,87,132
2022-12-31,Central,OH Region,239,38,49
2022-12-31,East,OH Region,209,36,74
2022-12-31,North East,OH Region,72,16,16
2022-12-31,North West,OH Region,28,2,12
2022-12-31,Ontario,Province,1281,223,334
2022-12-31,Toronto,OH Region,343,38,55
2022-12-31,West,OH Region,388,93,129
2022-12-24,Central,OH Region,251,43,44
2022-12-24,East,OH Region,205,59,68
2022-12-24,North East,OH Region,74,36,17
2022-12-24,North West,OH Region,28,3,10
2022-12-24,Ontario,Province,1212,315,324
2022-12-24,Toronto,OH Region,326,61,58
2022-12-24,West,OH Region,324,113,126
2022-12-17,Central,OH Region,282,64,57
2022-12-17,East,OH Region,222,82,67
2022-12-17,North East,OH Region,66,46,13
2022-12-17,North West,OH Region,20,4,8
2022-12-17,Ontario,Province,1208,424,342
2022-12-17,Toronto,OH Region,332,77,62
2022-12-17,West,OH Region,283,152,136
2022-12-10,Central,OH Region,252,84,62
2022-12-10,East,OH Region,212,93,61
2022-12-10,North East,OH Region,50,39,9
2022-12-10,North West,OH Region,10,4,1
2022-12-10,Ontario,Province,1175,492,335
2022-12-10,Toronto,OH Region,351,102,62
2022-12-10,West,OH Region,293,169,140
2022-12-03,Central,OH Region,240,115,51
2022-12-03,East,OH Region,203,88,65
2022-12-03,North East,OH Region,69,45,6
2022-12-03,North West,OH Region,22,9,8
2022-12-03,Ontario,Province,1195,540,320
2022-12-03,Toronto,OH Region,364,110,69
2022-12-03,West,OH Region,300,180,121
2022-11-26,Central,OH Region,251,0,0
2022-11-26,East,OH Region,187,0,0
2022-11-26,North East,OH Region,69,0,0
2022-11-26,North West,OH Region,30,0,0
2022-11-26,Ontario,Province,1232,0,0
2022-11-26,Toronto,OH Region,293,0,0
2022-11-26,West,OH Region,391,0,0
2022-11-19,Central,OH Region,267,0,0
2022-11-19,East,OH Region,246,0,0
2022-11-19,North East,OH Region,65,0,0
2022-11-19,North West,OH Region,42,0,0
2022-11-19,Ontario,Province,1388,0,0
2022-11-19,Toronto,OH Region,305,0,0
2022-11-19,West,OH Region,456,0,0
2022-11-12,Central,OH Region,294,0,0
2022-11-12,East,OH Region,307,0,0
2022-11-12,North East,OH Region,88,0,0
2022-11-12,North West,OH Region,39,0,0
2022-11-12,Ontario,Province,1635,0,0
2022-11-12,Toronto,OH Region,359,0,0
2022-11-12,West,OH Region,541,0,0
2022-11-05,Central,OH Region,354,0,0
2022-11-05,East,OH Region,331,0,0
2022-11-05,North East,OH Region,97,0,0
2022-11-05,North West,OH Region,39,0,0
2022-11-05,Ontario,Province,1832,0,0
2022-11-05,Toronto,OH Region,404,0,0
2022-11-05,West,OH Region,594,0,0
2022-10-29,Central,OH Region,368,0,0
2022-10-29,East,OH Region,376,0,0
2022-10-29,North East,OH Region,149,0,0
2022-10-29,North West,OH Region,43,0,0
2022-10-29,Ontario,Province,1927,0,0
2022-10-29,Toronto,OH Region,388,0,0
2022-10-29,West,OH Region,587,0,0
2022-10-22,Central,OH Region,353,0,0
2022-10-22,East,OH Region,376,0,0
2022-10-22,North East,OH Region,167,0,0
2022-10-22,North West,OH Region,44,0,0
2022-10-22,Ontario,Province,1839,0,0
2022-10-22,Toronto,OH Region,373,0,0
2022-10-22,West,OH Region,500,0,0
2022-10-15,Central,OH Region,344,0,0
2022-10-15,East,OH Region,358,0,0
2022-10-15,North East,OH Region,162,0,0
2022-10-15,North West,OH Region,55,0,0
2022-10-15,Ontario,Province,1686,0,0
2022-10-15,Toronto,OH Region,314,0,0
2022-10-15,West,OH Region,443,0,0
2022-10-08,Central,OH Region,312,0,0
2022-10-08,East,OH Region,325,0,0
2022-10-08,North East,OH Region,138,0,0
2022-10-08,North West,OH Region,61,0,0
2022-10-08,Ontario,Province,1492,0,0
2022-10-08,Toronto,OH Region,248,0,0
2022-10-08,West,OH Region,394,0,0
2022-10-01,Central,OH Region,275,0,0
2022-10-01,East,OH Region,319,0,0
2022-10-01,North East,OH Region,105,0,0
2022-10-01,North West,OH Region,39,0,0
2022-10-01,Ontario,Province,1305,0,0
2022-10-01,Toronto,OH Region,202,0,0
2022-10-01,West,OH Region,350,0,0
2022-09-24,Central,OH Region,227,0,0
2022-09-24,East,OH Region,285,0,0
2022-09-24,North East,OH Region,95,0,0
2022-09-24,North West,OH Region,24,0,0
2022-09-24,Ontario,Province,1179,0,0
2022-09-24,Toronto,OH Region,197,0,0
2022-09-24,West,OH Region,344,0,0
2022-09-17,Central,OH Region,221,0,0
2022-09-17,East,OH Region,255,0,0
2022-09-17,North East,OH Region,82,0,0
2022-09-17,North West,OH Region,43,0,0
2022-09-17,Ontario,Province,1164,0,0
2022-09-17,Toronto,OH Region,207,0,0
2022-09-17,West,OH Region,350,0,0
2022-09-10,Central,OH Region,251,0,0
2022-09-10,East,OH Region,237,0,0
2022-09-10,North East,OH Region,97,0,0
2022-09-10,North West,OH Region,59,0,0
2022-09-10,Ontario,Province,1253,0,0
2022-09-10,Toronto,OH Region,204,0,0
2022-09-10,West,OH Region,388,0,0
2022-09-03,Central,OH Region,240,0,0
2022-09-03,East,OH Region,234,0,0
2022-09-03,North East,OH Region,96,0,0
2022-09-03,North West,OH Region,43,0,0
2022-09-03,Ontario,Province,1237,0,0
2022-09-03,Toronto,OH Region,189,0,0
2022-09-03,West,OH Region,420,0,0
2022-01-01,Central,OH Region,264,0,0
2022-01-01,East,OH Region,165,0,0
2022-01-01,North East,OH Region,25,0,0
2022-01-01,North West,OH Region,13,0,0
2022-01-01,Ontario,Province,1163,0,0
2022-01-01,Toronto,OH Region,310,0,0
2022-01-01,West,OH Region,381,0,0
